Paper,Unit,Unit Name,Sub-Topic/Thinker,Directive,Question Text,Year,Marks,1. INTRO (Max 40 words),2. BODY SKELETON (5-6 Bullet Points),3. CONCLUSION (Max 40 words)
Paper I,1.8,Prehistoric Archaeology and Cultural Evolution,Mesolithic Culture,Short Note,Salient features of Mesolithic culture.,2017,10,[Re: Salient features of Mesolithic culture] The Mesolithic represents the Holocene transitional phase between Paleolithic hunting and Neolithic farming. Archaeologist V.N. Misra characterizes it by the intensive exploitation of micro-environments using specialized microlithic technology.,"• Climate Adaptation: Warming Holocene climates replaced megafauna with smaller, faster game (deer, boar), requiring new hunting strategies.

• Microlithic Tool-Kit: Dominance of tiny (1-5cm) geometric stone tools (triangles, trapezes) hafted onto bone or wood to create composite weapons.

• Broad-Spectrum Foraging: Diversified diet including intensive fishing, fowling, and wild cereal gathering.

• Proto-Agriculture: Early evidence of animal penning and domestication (e.g., Bagor in Rajasthan showing sheep/goat bones).

• Artistic Explosion: Proliferation of dynamic rock art depicting communal life and hunting (e.g., Bhimbetka).","The Mesolithic was not a mere ""waiting period"" for agriculture. It was a phase of intense cognitive and technological innovation, laying the essential groundwork for eventual domestication and sedentism."
Paper I,1.8,Prehistoric Archaeology and Cultural Evolution,Chalcolithic Culture,Delineate,Delineate the salient features of Chalcolithic cultures.,2016,15,"[Re: Salient features of Chalcolithic cultures] The Chalcolithic (Copper-Stone Age) marks the first use of metal alongside stone tools. In India, it represents non-urban, farming communities (like Ahar-Banas and Jorwe) flourishing contemporaneously or post-Harappa.","• Metallurgy: Limited smelting of copper to make axes, bangles, and fishhooks, while heavily retaining microliths for daily use.

• Ceramics: Distinctive painted pottery, primarily Black-and-Red Ware (BRW) or painted black-on-red (Jorwe ware), turned on a fast wheel.

• Economy: Subsistence based on mixed farming (wheat, barley, lentils) and herding (cattle, sheep), but strictly rural without IVC-level urbanism.

• Settlement Pattern: Mud and wattle-and-daub houses; distinct site hierarchies suggesting early chiefdoms (e.g., Inamgaon in Maharashtra).

• Burial Practices: Infant urn burials under house floors; adults buried with distinct directional orientations (North-South in Maharashtra).",Indian Chalcolithic cultures highlight intense regional diversity and adaptation. They formed the vital agrarian base that supported the later emergence of the Iron Age and the Second Urbanization.
Paper I,1.8,Prehistoric Archaeology and Cultural Evolution,Neolithic Culture,Short Note,Neolithic Cultures of India.,2016,10,[Re: Neolithic Cultures of India (2016 & 2014)] The Indian Neolithic was not a uniform revolution but a mosaic of regional developments adapting to diverse ecologies. It marks the indigenous transition to agro-pastoralism and settled village life.,"• Northwestern (Mehrgarh): The earliest; indigenous domestication of zebu cattle, wheat, and barley; transition to mud-brick sedentism.

• Northern (Kashmir): Burzahom/Gufkral; characterized by pit-dwellings, unique dog burials with masters, and bone tool industries.

• Eastern (Vindhyas): Koldihwa and Mahagara showing some of the earliest evidence of rice cultivation globally.

• Southern (Peninsular): Ash-mound traditions (Utnur, Kupgal) indicating massive cattle penning; reliance on millets and pulses.

• North-Eastern (Assam): Daojali Hading; shifting agriculture, characterized by shouldered celts and cord-marked pottery showing Southeast Asian affinities.",The regional diversity proves that Indian agriculture was multi-centric. These distinct ecological adaptations laid the foundational agrarian templates for the diverse regional cultures of modern India.
Paper I,1.8,Prehistoric Archaeology and Cultural Evolution,Paleolithic Culture,Short Note,Paleolithic Culture.,2015,10,"[Re: Paleolithic Culture (Short Note)] The Paleolithic (Old Stone Age) constitutes 99% of human history, corresponding to the Pleistocene epoch. It is defined by a parasitic hunter-gatherer economy and the evolution of core/flake lithic technologies.","• Lower Paleolithic: Associated with H. habilis and H. erectus. Characterized by massive core tools (Oldowan choppers, Acheulian hand-axes) for scavenging.

• Middle Paleolithic: Neanderthal dominance. Shift to specialized flake tools using the Levallois prepared-core technique; early evidence of burials.

• Upper Paleolithic: Arrival of H. sapiens. Explosive innovation in blade technology, use of bone/antler, and complex cave art.

• Subsistence: Exclusively nomadic foraging, highly dependent on Pleistocene megafauna and seasonal plant gathering.

• Diagram: A timeline arrow showing Lower -> Middle -> Upper corresponding to erectus -> neanderthal -> sapiens.","The Paleolithic encapsulates the ultimate bio-cultural synthesis, where humans transitioned from biologically adapting to the environment to using complex technology and culture to master it entirely."
Paper I,1.8,Prehistoric Archaeology and Cultural Evolution,Neolithic Culture,Describe,Describe the Neolithic culture of India.,2014,15,"[Re: Describe the Neolithic culture of India] The Indian Neolithic marks the indigenous transition to agro-pastoralism and settled village life. It was not a uniform, imported revolution but a mosaic of regional developments adapting to diverse subcontinent ecologies.","• Northwestern (Mehrgarh): The earliest phase; indigenous domestication of zebu cattle, wheat, and barley; transition to mud-brick sedentism.

• Northern (Kashmir): Burzahom and Gufkral; characterized by pit-dwellings, unique dog burials with masters, and bone tool industries.

• Eastern (Vindhyas/Ganga): Koldihwa and Mahagara showing some of the earliest evidence of rice cultivation globally.

• Southern (Peninsular): Ash-mound traditions (Utnur, Kupgal) indicating massive cattle penning and reliance on millets.

• North-Eastern (Assam): Daojali Hading; shifting agriculture, characterized by shouldered celts and cord-marked pottery showing Southeast Asian affinities.",This incredible regional diversity proves that Indian agriculture was multi-centric. These distinct ecological adaptations laid the foundational agrarian templates for the diverse regional cultures of modern India.
Paper I,1.8,Prehistoric Archaeology and Cultural Evolution,Dating Methods,Describe,"Describe the absolute dating methods in Archaeology, Highlighting the importance of each method.",2014,15,"[Re: Describe absolute dating methods & importance] Absolute (chronometric) dating methods rely on measurable physical or chemical properties, often radiometric decay, to assign a specific calendar age or year range (BP) to an artifact or geological layer.","• Radiocarbon (C-14): Measures decay of C-14 in organic remains. Importance: The backbone of Holocene archaeology; revolutionized dating of the Neolithic (up to 50kya).

• Potassium-Argon (K-Ar): Measures decay of K-40 in volcanic ash. Importance: Crucial for dating deep-time hominin fossils in East Africa covering millions of years.

• Dendrochronology: Matches tree ring growth patterns. Importance: Provides the most precise, year-by-year calendar dates and is essential for calibrating C-14 curves.

• Thermoluminescence (TL): Measures trapped electrons in fired crystalline structures. Importance: Allows direct dating of inorganic cultural artifacts like pottery where C-14 fails.","Absolute dating transformed archaeology from an antiquarian guessing game into a rigorous science, allowing anthropologists to accurately map the tempo of human evolution, migrations, and technological revolutions."
Paper I,1.8,Prehistoric Archaeology and Cultural Evolution,Dating Methods,Short Note,Problems of dating in Prehistoric Archaeology.,-,10,"[Re: Problems of dating in Prehistoric Archaeology] While dating methods are scientifically rigorous, their application in prehistoric archaeology is fraught with contextual, environmental, and technological limitations that can severely skew chronological accuracy.","• Contextual Integrity: The ""old wood problem"" (using a 300-year-old tree for a new hearth) or stratigraphic disturbance (burrowing animals/floods) mismatches the date with the human event.

• Methodological Limits: C-14 is blind beyond ~50k years; K-Ar requires volcanic ash, making it useless in non-volcanic regions like India.

• Contamination: Ground water, modern carbon, or improper handling can introduce new isotopes into a sample, giving falsely young dates.

• Calibration Issues: Atmospheric C-14 levels have fluctuated; raw radiocarbon dates must be carefully calibrated against dendrochronology.

• Cost & Destruction: Absolute dating is highly expensive and often requires the destructive sampling of rare fossils.","To mitigate these problems, modern archaeologists employ ""chronometric hygiene,"" cross-referencing multiple absolute methods with rigorous stratigraphic relative dating to ensure accuracy."
Paper I,1.8,Prehistoric Archaeology and Cultural Evolution,Neolithic Culture,"Why, Describe",Why is the Neolithic phase of culture in Europe called revolution? Describe its distinctive features.,-,15,"[Re: Why is European Neolithic called a revolution?] V. Gordon Childe termed the European Neolithic a ""revolution"" not because of suddenness, but because the adoption of agriculture irreversibly transformed human existence from parasitic foraging to complex, sedentary societies.","• The ""Revolutionary"" Aspect: It fundamentally altered human demography, catalyzed social stratification, and created the economic surplus necessary for future urbanization.

• Agro-Pastoralism: Shift to cultivating wheat/barley and herding sheep/cattle, largely introduced via demic diffusion from the Near East.

• Sedentism: Transition from nomadic camps to permanent timber longhouses (e.g., the LBK culture in Central Europe).

• Megalithic Architecture: Later phases are characterized by massive communal stone monuments (Stonehenge) reflecting high social organization.

• Technology: Ground/polished stone axes used for massive forest clearance; widespread adoption of fired ceramics for storage.",The European Neolithic was a slow-burning revolution. It permanently modified the European landscape through deforestation and established the genetic and linguistic foundations of modern European populations.
Paper I,2.1,The Nature of Culture,Concept of culture,Short Note,Attributes of culture.,2024,10,"[Re: Attributes of culture] E.B. Tylor (1871) classically defined culture as the ""complex whole"" of knowledge, belief, art, morals, and custom acquired by man as a member of society. It is the defining hallmark of humanity.","• Learned: Not biologically inherited; acquired through socialization and enculturation.

• Shared: Exists as a collective social phenomenon, not an individual psychological trait.

• Symbolic: Transmitted primarily through language (Leslie White emphasized the symbol as the basis of all culture).

• Integrated: Parts are interconnected (e.g., changing economy alters kinship patterns).

• Adaptive & Dynamic: Constantly evolving to help humans survive in varying ecological niches.","Culture completely replaces biological adaptation as humanity's primary survival mechanism, acting as a non-genetic, transmissible shield against environmental pressures."
Paper I,2.1,The Nature of Culture,Cultural lag,Short Note,William Ogburn and Cultural lag.,2023,10,"[Re: William Ogburn and Cultural lag] American sociologist William F. Ogburn introduced the concept of ""Cultural Lag"" in his 1922 book, Social Change, explaining the friction that occurs when different parts of a culture evolve at unequal rates.","• Material vs. Non-Material: Culture is divided into material (technology, infrastructure) and non-material (values, laws, religion).

• The Lag: Material culture changes rapidly due to innovation, while non-material culture stubbornly resists change, creating a ""lag.""

• Maladjustment: This gap causes social friction and ethical crises.

• Example 1 (Bioethics): Medical technology can keep brain-dead patients alive (fast material change), but legal/religious definitions of ""death"" struggle to adapt (slow non-material change).

• Example 2 (Cyber): AI and deepfakes advance faster than privacy laws and cyber-ethics.",Ogburn's theory remains an incredibly powerful analytical tool for anthropologists studying the social disruptions caused by rapid globalization and technological acceleration in modern societies.
Paper I,2.1,The Nature of Culture,Global cultural economy,Critically examine,Critically examine Arjun Appadurai's conceptualization of global cultural economy.,2023,20,"[Re: Appadurai's global cultural economy] In his seminal work Modernity at Large (1996), anthropologist Arjun Appadurai revolutionized globalization theory. He rejected the simplistic ""core-periphery"" model, arguing that the global cultural economy is a complex, overlapping, and disjunctive order.","• Rejection of Homogenization: Argues against ""Americanization/McDonaldization""; local cultures actively indigenize global forces.

• Ethnoscapes: The fluid movement of people (tourists, immigrants, refugees) altering national identities.

• Mediascapes: The global flow of images and narratives (Bollywood, Hollywood, internet) shaping desires.

• Technoscapes: The rapid, borderless movement of technology and machinery.

• Financescapes: The volatile, instantaneous movement of global capital and stock markets.

• Ideoscapes: The flow of political ideologies (democracy, human rights).","Appadurai’s ""scapes"" provide the essential framework for contemporary anthropologists to study how local tribal or rural identities are violently and creatively renegotiated in a borderless world."
Paper I,2.1,The Nature of Culture,Ethnocentrism & Relativism,Discuss,Discuss the historical and cultural contexts that led to superseding ethnocentrism with cultural relativism in anthropology.,2022,15,[Re: Superseding ethnocentrism with cultural relativism] Ethnocentrism—judging other cultures by the standards of one's own—dominated 19th-century Victorian anthropology. The shift to cultural relativism was a methodological revolution driven by Franz Boas to make the discipline truly scientific.,"• The Victorian Flaw: Early anthropologists (Tylor, Morgan) used unilineal evolutionism, placing Western civilization at the apex and labeling others ""savages.""

• Boasian Revolution: Franz Boas introduced Historical Particularism, arguing every culture has its own unique, incomparable history.

• Participant Observation: Malinowski's fieldwork in the Trobriand Islands proved that to understand ""the native's point of view,"" one must suspend external moral judgments.

• Post-WWII Reality: The horrors of the World Wars shattered the myth of ""Western moral superiority,"" forcing a re-evaluation of non-Western societies.

• Result: Relativism became the epistemological bedrock of fieldwork.","Superseding ethnocentrism saved anthropology from acting as an intellectual justification for colonialism, transforming it into a science of human diversity and mutual tolerance."
Paper I,2.1,The Nature of Culture,Cultural Relativism,Short Note,Human rights and cultural relativism.,"2020, 2010",10,[Re: Human rights and cultural relativism] The tension between Universal Human Rights and Cultural Relativism is anthropology's greatest ethical dilemma. It climaxed when Melville Herskovits drafted the AAA's 1947 statement opposing the UN’s Universal Declaration of Human Rights.,"• The Relativist Argument: Herskovits argued the UDHR was a Western ethnocentric document imposing Euro-American values (individualism) on communal societies.

• The Danger of Absolute Relativism: Taken to the extreme, relativism paralyzes anthropologists, forcing them to passively accept human rights abuses like Female Genital Mutilation (FGM), apartheid, or caste untouchability.

• The Universalist Argument: Basic human dignity, freedom from torture, and right to life supersede local cultural norms.

• The Modern Synthesis (""Weak Relativism""): Anthropologists use relativism as a methodological tool to understand the why behind a practice, but reserve the right to moral judgment regarding fundamental human rights.","Today, anthropologists like Sally Engle Merry advocate for ""vernacularization""—framing universal human rights in a way that resonates with local cultural idioms, bridging the gap between relativism and justice."
Paper I,2.1,The Nature of Culture,Cultural Relativism,Short Note,Cultural Relativism,"2019, 2016",10,"[Re: Cultural Relativism - Why it's dear to anthropologists] Cultural Relativism, championed by Franz Boas and Ruth Benedict, asserts that a culture must be evaluated by its own internal standards, not by those of an outside observer. It is the heart of anthropological methodology.","• Combats Bias: It acts as an intellectual cognitive behavioral therapy, forcing the ethnographer to recognize and suppress their own cultural conditioning.

• Enables Empathy: Allows the researcher to achieve Verstehen (empathetic understanding), essential for Malinowskian participant observation.

• Contextualizes Weirdness: Makes the ""exotic"" rational. (e.g., Marvin Harris explaining the ecological rationality of the Hindu sacred cow, which seemed irrational to Western economists).

• Promotes Pluralism: Serves as a philosophical weapon against racism, xenophobia, and aggressive cultural assimilation policies.","It is ""dear"" because without it, anthropology devolves into mere judgment. It is the crucial lens that allows anthropologists to see the logic in the seemingly illogical."
Paper I,2.1,The Nature of Culture,Concept of culture,Critically examine,Is culture unique to human beings? Critically examine.,2014,15,"[Re: Is culture unique to human beings?] Traditionally, anthropologists like Leslie White argued culture is strictly human, dependent on symbolic language. However, primatologists like Jane Goodall have heavily blurred this line, igniting the debate over animal proto-culture.","• The Animal Evidence: Goodall observed chimpanzees stripping leaves to ""fish"" for termites. Macaques in Japan wash sweet potatoes in seawater and pass the behavior to offspring.

• Social Transmission: These behaviors prove animals can learn, invent, and transmit non-genetic knowledge within a group.

• The Human Difference - Symbolism: Animal learning is observational. Human culture relies on symbols (language), allowing the discussion of the past, future, and abstract concepts (God, justice).

• The Human Difference - Cumulativeness: The ""Ratchet Effect"" (Michael Tomasello); human culture builds exponentially over generations (from stone tools to spaceships). Animal culture remains static.","While non-human primates possess basic, observational proto-culture, only humans possess the neurological capacity for symbolic, cumulative culture, making true cultural evolution uniquely human."
Paper I,2.1,The Nature of Culture,Cultural Relativism,Why,Why the concept of Culture Relativism been so dear to Anthropologists?,-,20,,,
Paper I,2.1,The Nature of Culture,Culture and civilization,Bring out,Bring out the distinguishing features of culture and civilization.,-,15,"[Re: Distinguishing features of culture and civilization] Sociologists MacIver and Page famously summarized the distinction: ""Our culture is what we are, our civilization is what we use."" While often used interchangeably, anthropology delineates them by materiality and purpose.","• Means vs. Ends: Civilization acts as the means to an end (tools, infrastructure, laws). Culture is the end in itself (art, religion, values, meaning).

• Material vs. Non-Material: Civilization is easily measurable and highly material (smartphones, cities). Culture is internal and subjective (ethics, kinship).

• Transmissibility: Civilization is easily borrowed across borders without effort (e.g., adopting internet infrastructure). Culture requires deep, generational enculturation to adopt.

• Pace of Change: Civilizational technology progresses rapidly and linearly; cultural values change slowly and non-linearly.

• Example: A tribal society may lack ""civilization"" (factories, written laws) but possesses a rich, complex ""culture"" (mythology, ecological knowledge).","They are deeply intertwined. Civilization provides the structural framework for physical survival, while culture breathes life, identity, and meaning into that framework."
Paper I,2.1,The Nature of Culture,Concept of culture,Short Note,Super organic view of culture.,-,10,"[Re: Super organic view of culture] Anthropologist A.L. Kroeber introduced the ""Superorganic"" concept in 1917, heavily influenced by Herbert Spencer. He argued that culture exists on a completely separate, higher plane of reality than biology or individual psychology.","• Culture as Autonomous: Culture is an entity with its own laws of evolution, independent of the humans who carry it.

• The Individual is Irrelevant: Kroeber argued that great inventions (like calculus by Newton/Leibniz) happen simultaneously because the culture is ready, making the individual genius merely a mouthpiece for the culture.

• No Biological Reductionism: Human behavior cannot be explained by genetics or brain chemistry alone; it is dictated by the superorganic cultural environment.

• Critique: Later heavily criticized by Edward Sapir, who argued this view completely strips humans of individual agency and free will.","While Kroeber's extreme determinism is largely rejected today, the concept was historically vital in establishing cultural anthropology as an independent academic discipline, separate from biology and psychology."
Paper I,2.1,The Nature of Culture,Acculturation,Short Note,Acculturation and Contra acculturation.,-,10,"[Re: Acculturation and Contra acculturation] The classic 1936 memorandum by Redfield, Linton, and Herskovits defines acculturation as the cultural changes resulting from continuous, first-hand contact between previously distinct societies.","• Acculturation: The adoption of traits by one group from another. Often asymmetrical, driven by power dynamics (e.g., colonization leading to the adoption of English and Western attire in India).

• Forms of Adaptation: Can lead to assimilation (total absorption), integration (biculturalism), or marginalization.

• Contra-acculturation: A reactionary movement. When a subordinate group feels threatened by acculturation, they aggressively reject the dominant culture and revive traditional practices.

• Examples of Contra-acculturation: The Cargo Cults of Melanesia, the Mau Mau uprising in Kenya, or the Birsa Munda movement rejecting British/missionary influence.","Acculturation proves that cultural contact is rarely a peaceful ""melting pot."" It is a site of constant negotiation, power struggles, and eventual resistance through contra-acculturative revivalism."
Paper I,2.1,The Nature of Culture,Concept of culture,Short Note,Culture as construct or reality?,-,10,"[Re: Culture as construct or reality?] This represents a major epistemological debate in anthropology between Realism and Constructivism. Does ""culture"" exist objectively in the world, or is it merely an abstract model invented by anthropologists to organize data?","• Culture as Reality (Realism): Structural-Functionalists (Radcliffe-Brown) viewed society and culture as observable, concrete entities, functioning like biological organisms with distinct organs (institutions).

• Culture as Construct (Nominalism): Cognitive anthropologists argued culture exists only in the mind as a ""grammar"" for behavior.

• Geertz’s View: Clifford Geertz merged these, stating humans are suspended in ""webs of significance"" they themselves spun; culture is a semiotic construct interpreted through ""thick description.""

• Post-Modern Critique: Scholars like James Clifford argue ""culture"" is a politically loaded construct, historically used by Western anthropologists to neatly categorize and control colonized peoples.","Today, anthropologists view culture as a dynamic hybrid: it is grounded in real, material practices, but its boundaries and meanings are subjectively constructed and constantly renegotiated by people."
Paper I,2.2,The Nature of Society,Social stratification,Examine critically,Examine critically the concept of social stratification as a basis for sustaining social inequality.,2024,20,"[Re: Social Stratification - Basis & Types] Pitirim Sorokin defines social stratification as the differentiation of a given population into hierarchically superposed classes. It manifests as unequal distribution of rights, privileges, power, and prestige among members of a society.","• Basis - Biological: Age and Sex (e.g., Gerontocracy among the Tiwi of Australia, where older men hold all power/wives).

• Basis - Socio-Cultural: Race, Ethnicity, and wealth.

• Type 1 - Caste: Closed, ascribed system based on ritual purity/pollution (Louis Dumont’s Homo Hierarchicus).

• Type 2 - Class: Open, achieved system based on economic means (Karl Marx/Max Weber).

• Type 3 - Estate: Feudal European system based on land ownership and legal categories (Nobility, Clergy, Peasants).","Stratification is a cultural universal. The primary difference between traditional and modern societies is the degree of social mobility, transitioning from rigid, closed systems (ascribed) to open, fluid systems (achieved)."
Paper I,2.2,The Nature of Society,"Status, role and institution",Short Note,"Radcliffe-Brown's ideas on status, role and institution.",2023,10,"[Re: Radcliffe-Brown's ideas on status, role and institution] A.R. Radcliffe-Brown, pioneering Structural-Functionalism, viewed society as a complex network of social relations. To analyze this network scientifically, he utilized the interconnected concepts of status, role, and institution.","• Institution: Standardized modes of behavior (rules/norms) that dictate how individuals should interact.

• Status: A structural position within the social network (e.g., 'Father' or 'Chief').

• Role: The dynamic, behavioral aspect of a status; the actual duties performed by the person occupying that position.

• The Interconnection: Institutions dictate the rights/duties of a Status, which are performed via Roles, ultimately maintaining ""social solidarity.""

• Example: The Joking Relationship (an institution) dictates a relaxed role between specific kin statuses to prevent structural conflict.","Radcliffe-Brown's approach shifted British anthropology away from historical guesswork, providing a rigorous, scientific vocabulary for analyzing how societies function and maintain equilibrium in the present moment."
Paper I,2.2,The Nature of Society,Social stratification,Critically evaluate,Critically evaluate different types of social stratification with suitable examples.,2021,20,"[Re: Critically evaluate different types of social stratification] Pitirim Sorokin defines stratification as the hierarchical ranking of society into unequal strata. While a cultural universal, it manifests in different types based on the degree of social mobility (open vs. closed systems).","• Slavery (Extreme Closed): Individuals are owned as property. Critique: Economically efficient for the master, but represents the ultimate denial of human rights (e.g., Antebellum US).

• Caste (Closed/Ascribed): Ranked by ritual purity/pollution (Louis Dumont’s Homo Hierarchicus). Critique: Provides deep social solidarity but completely stifles individual talent and mobility.

• Estate (Semi-Closed): Feudal system based on land and legal rights (Nobility/Clergy/Peasants). Critique: Highly exploitative agrarian system that sparked violent revolutions.

• Class (Open/Achieved): Based on economic wealth and occupation (Marx/Weber). Critique: Theoretically allows upward mobility, but critical anthropologists note that inherited wealth often makes 'equal opportunity' an illusion.

• Functional vs. Conflict: Davis & Moore argue stratification motivates people; Tumin critiques it as institutionalized oppression.","While modern democracies actively legislate against closed systems (like abolishing untouchability), true egalitarianism remains elusive. Ascribed traits (race, caste) frequently intersect with class, sustaining complex inequalities globally."
Paper I,2.2,The Nature of Society,Social Institution,Discuss,Discuss Erving Goffman's concept of total institutions and it's relevance in contemporary society.,2020,15,"[Re: Goffman's Total Institutions] Erving Goffman, in his 1961 book Asylums, coined ""Total Institution"" to describe a closed social system where all aspects of life (sleep, play, work) are strictly bureaucratized and separated from wider society.","• Centralized Control: The breakdown of barriers separating sleep, play, and work; all are conducted in the same place under a single authority.

• Mortification of Self: Inmates are stripped of their previous identities through uniform clothing, loss of personal items, and strict obedience.

• Types: Care for the incapable (orphanages), threat to community (prisons, asylums), purposeful tasks (military barracks), retreats (monasteries).

• Relevance: Highly relevant for modern anthropologists critiquing penal reform, refugee detention centers, and the psychological trauma of institutionalized elderly care.","Goffman's symbolic interactionist approach powerfully exposes how extreme bureaucratic control systematically dismantles individual human agency, fundamentally changing how social scientists view institutional ""rehabilitation."""
Paper I,2.2,The Nature of Society,Social stratification,Discuss,Discuss Social stratification according to any three major approaches.,2019,20,"[Re: Social Stratification - Approaches & Sustaining Inequality] Anthropologists debate whether stratification is a natural necessity or an institutionalized system of oppression. This is analyzed primarily through the Functionalist, Marxist, and Weberian sociological paradigms.","• Functionalist Approach (Davis & Moore): Stratification is an unconscious, necessary device to ensure the most important positions are filled by the most qualified persons. Inequality is a ""functional reward.""

• Marxist/Conflict Approach: Stratification only functions to sustain the bourgeoisie. It sustains inequality through the exploitation of the proletariat and control of the ""means of production.""

• Weberian Approach: Stratification is multi-dimensional: Class (economic wealth), Status (social prestige), and Party (political power).

• Tumin's Critique: Melvin Tumin argued against functionalists, stating stratification actually limits the discovery of talent by restricting opportunities for the lower strata.","While functionalists view it as the structural glue of society, critical anthropologists view it as an institutionalized mechanism of power, deeply relevant for studying modern systemic wealth disparities."
Paper I,2.2,The Nature of Society,Status & Role,"Define, Distinguish",Define Status & Role. Distinguish between Ascribed and Achieved Status.,"2017, 2014",15,"[Re: Status & Role - Ascribed vs Achieved] Anthropologist Ralph Linton (1936), in The Study of Man, formalized the distinction between Status (a structural position in a social system) and Role (the behavioral enactment of that position).","• Ascribed Status: Assigned at birth or involuntarily later in life, completely independent of personal effort (e.g., Sex, Age, Caste, Race).

• Achieved Status: Acquired voluntarily through individual effort, skill, or choice (e.g., Occupation, Education level, Marital status).

• The Evolutionary Shift: Traditional/agrarian societies rely heavily on ascribed statuses to maintain stability, while industrial societies prioritize achieved statuses to promote economic mobility.

• Role Conflict: Occurs when the roles of two distinct statuses clash (e.g., a female police officer arresting her own son).","Understanding this dichotomy is crucial for tracking the modernization process, as globalization systematically pushes societies from ascribed rigidities toward achievement-based fluidities."
Paper I,2.2,The Nature of Society,Society and Culture,Short Note,Society and culture.,-,10,"[Re: Society and Culture] Sociologists MacIver and Page concisely state: ""Society is the web of social relationships."" While culture and society are intrinsically linked, anthropology distinguishes between the two for analytical clarity.","• Society (The Structure): A group of interacting individuals sharing a territory and reproducing themselves (The Who).

• Culture (The Content): The learned, shared, symbolic way of life, including tools, norms, and beliefs (The What and How).

• Mutual Dependency: There can be no human culture without a society to transmit it, and no human society can exist without a culture to guide it.

• Animal Distinction: Many animals (ants, chimpanzees) have complex societies, but only humans possess symbolic, cumulative culture.","Society is the physical and structural vessel, while culture is the behavioral and symbolic liquid that fills it. To study one without the other yields a fundamentally incomplete ethnography."
Paper I,2.2,The Nature of Society,Social stratification,"What, Discuss",What is the basis of social stratification? Discuss with examples.,-,20,"[Re: Basis of social stratification] Pitirim Sorokin defines social stratification as the hierarchical ranking of society into unequal strata. It is a cultural universal based on the unequal distribution of power, prestige, rights, and wealth.","• Biological Basis: Age and Sex (e.g., Gerontocracy among the Tiwi of Australia, where older men hold power).

• Socio-Cultural Basis: Race and Ethnicity (e.g., apartheid or systemic racism).

• Economic Basis: Wealth and occupation forming Classes (Karl Marx’s Bourgeoisie vs. Proletariat).

• Ritual Basis: Concepts of purity and pollution forming the Caste system (Louis Dumont).

• Political Basis: Distribution of authoritative power (Max Weber's concept of 'Party').","Stratification fundamentally shifts from ascribed biological/ritual bases in traditional societies to achieved economic bases in modern societies, though intersecting inequalities heavily persist globally."
Paper I,2.2,The Nature of Society,Social stratification,Short Note,Social stratification.,-,10,"[Re: Social stratification (Short Note)] Social stratification is the division of society into permanent groups or categories linked by relationships of superiority and subordination (Raymond Murray), serving as the structural basis for social inequality.","• Characteristics: It is universal but variable, socially patterned, and deeply consequential to life chances.

• Forms: Caste (closed/ascribed), Class (open/achieved), Estate (feudal land ownership), and Slavery.

• Functionalist View (Davis & Moore): Argues it is a necessary, unconscious device to ensure top talent fills critical societal roles.

• Conflict View (Marx/Tumin): Argues it is an institutionalized mechanism of exploitation that actively suppresses the talent of the lower strata.","It remains a core sociological concept for anthropologists studying power dynamics, social mobility, and institutionalized oppression in both simple and complex societies."
Paper I,2.3,Marriage,Marriage regulations,Discuss,Discuss the role of marriage regulations in traditional societies in India for strengthening social solidarity.,2023,20,"[Re: Marriage regulations for social solidarity] Marriage regulations—rules determining who one can or cannot marry (endogamy, exogamy, taboos)—are structural mechanisms. As Emile Durkheim noted, such institutions function primarily to maintain ""social solidarity.""","• Village Exogamy (North India): Forces families to seek mates outside their village, creating wide political and economic alliances across territories.

• Caste Endogamy: Maintains ritual purity and preserves occupational monopolies (Jajmani system), keeping the caste group cohesive.

• Isogamy/Hypergamy (Anuloma): Regulates marriages between status groups, preserving patriarchal hierarchies and preventing social chaos.

• Cross-Cousin Marriage (South India): Renews existing affinal bonds and keeps property/wealth concentrated within the extended kin group.","In traditional India, marriage is rarely an individual choice but a strategic alliance. These regulations weave isolated families into a cohesive, interdependent socio-economic fabric, ensuring structural survival."
Paper I,2.3,Marriage,Alliance Theory,Short Note,Marriage Regulations and Alliance Theory.,2021,10,"[Re: Marriage Regulations and Alliance Theory] Claude Lévi-Strauss’s Alliance Theory posits that marriage regulations, particularly the incest taboo, exist primarily to force groups into reciprocal exchange networks, forming the basis of social structure.","• The Catalyst (Incest Taboo): A negative rule that forces exogamy, pushing individuals to seek mates outside their biological unit.

• Principle of Reciprocity (Mauss): Women are exchanged like gifts between groups to build political and economic alliances.

• Restricted Exchange: Direct, symmetric exchange between two groups (e.g., bilateral cross-cousin marriage).

• Generalized Exchange: Asymmetric exchange across multiple groups (Group A gives to B, B gives to C, C gives to A), creating wider social integration.","Alliance theory fundamentally shifted anthropological focus from biological descent (blood) to the political and economic alliances forged through marriage, redefining kinship studies."
